"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,22.282,"37,39%","25,84%","37,98%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,19.034,"31,94%","22,07%","32,44%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,11.137,"18,69%","12,92%","18,98%"
IU - IZQUIERDA UNIDA DE ARAGON,,3.369,"5,65%","3,91%","5,74%"
PAR - PARTIDO ARAGONES,,2.206,"3,7%","2,56%","3,76%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,384,"0,64%","0,45%","0,65%"
INAR - INICIATIVA ARAGONESA,,91,"0,15%","0,11%","0,16%"
FE - LA FALANGE,,30,"0,05%","0,03%","0,05%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,26,"0,04%","0,03%","0,04%"
PLN - PARTIDO DE LA LEY NATURAL,,26,"0,04%","0,03%","0,04%"
PH - PARTIDO HUMANISTA,,23,"0,04%","0,03%","0,04%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,21,"0,04%","0,02%","0,04%"
2000,,,,,
ES2000 - PLATAFORMA ESPAÑA 2000,,16,"0,03%","0,02%","0,03%"
EC - ESTAT CATALA,,12,"0,02%","0,01%","0,02%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,11,"0,02%","0,01%","0,02%"
