Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,5.436,"40,16%","27,14%","40,64%"
PP - PARTIDO POPULAR,2.643,"19,52%","13,19%","19,76%"
IU - IZQUIERDA UNIDA,2.201,"16,26%","10,99%","16,46%"
PAR - PARTIDO ARAGONES REGIONALISTA,1.273,"9,4%","6,35%","9,52%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,1.039,"7,68%","5,19%","7,77%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,190,"1,4%","0,95%","1,42%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,140,"1,03%","0,7%","1,05%"
COMUNISTA,,,,
LVE - LOS VERDES ECOLOGISTAS,124,"0,92%","0,62%","0,93%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,91,"0,67%","0,45%","0,68%"
LV-LV - LOS VERDES-LISTA VERDE,84,"0,62%","0,42%","0,63%"
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,84,"0,62%","0,42%","0,63%"
CSD - COALICION SOCIALDEMOCRATA,30,"0,22%","0,15%","0,22%"
AR - ALIANZA POR LA REPUBLICA,12,"0,09%","0,06%","0,09%"
PH - PARTIDO HUMANISTA,11,"0,08%","0,05%","0,08%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,11,"0,08%","0,05%","0,08%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,6,"0,04%","0,03%","0,04%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,0,0%,0%,0%
