"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,8.195,"34,6%","23,13%","34,92%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,7.054,"29,79%","19,91%","30,06%"
PAR - PARTIDO ARAGONES REGIONALISTA,,2.610,"11,02%","7,37%","11,12%"
IU - IZQUIERDA UNIDA,,2.579,"10,89%","7,28%","10,99%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,,1.695,"7,16%","4,78%","7,22%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,,418,"1,76%","1,18%","1,78%"
LV-LV - LOS VERDES-LISTA VERDE,,180,"0,76%","0,51%","0,77%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,,169,"0,71%","0,48%","0,72%"
LVE - LOS VERDES ECOLOGISTAS,,154,"0,65%","0,43%","0,66%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,,119,"0,5%","0,34%","0,51%"
COMUNISTA,,,,,
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,,94,"0,4%","0,27%","0,4%"
CSD - COALICION SOCIALDEMOCRATA,,86,"0,36%","0,24%","0,37%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,45,"0,19%","0,13%","0,19%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,,37,"0,16%","0,1%","0,16%"
AR - ALIANZA POR LA REPUBLICA,,18,"0,08%","0,05%","0,08%"
PH - PARTIDO HUMANISTA,,16,"0,07%","0,05%","0,07%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,,0,0%,0%,0%
