Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,10.206,"49,34%","33,89%","50,31%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,5.377,"25,99%","17,85%","26,51%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",2.662,"12,87%","8,84%","13,12%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,1.408,"6,81%","4,68%","6,94%"
EQUO - EQUO,235,"1,14%","0,78%","1,16%"
Eb - ESCAÑOS EN BLANCO,131,"0,63%","0,43%","0,65%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,102,"0,49%","0,34%","0,5%"
PUM+J - POR UN MUNDO MÁS JUSTO,52,"0,25%","0,17%","0,26%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,46,"0,22%","0,15%","0,23%"
DeC - DEMOS EL CAMBIO,20,"0,1%","0,07%","0,1%"
PH - PARTIDO HUMANISTA,17,"0,08%","0,06%","0,08%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,16,"0,08%","0,05%","0,08%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,14,"0,07%","0,05%","0,07%"
