Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,7.040,"32,63%","23,28%","32,93%"
ARAGON,,,,
PODEMOS - PODEMOS,4.872,"22,58%","16,11%","22,79%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,3.697,"17,14%","12,22%","17,29%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,3.426,"15,88%","11,33%","16,03%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",1.649,"7,64%","5,45%","7,71%"
CHUNTA,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,200,"0,93%","0,66%","0,94%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,180,"0,83%","0,6%","0,84%"
EB - ESCAÑOS EN BLANCO,121,"0,56%","0,4%","0,57%"
VOX - VOX,99,"0,46%","0,33%","0,46%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,45,"0,21%","0,15%","0,21%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,30,"0,14%","0,1%","0,14%"
Independien - INDEPENDIENTES POR ARAGÓN,20,"0,09%","0,07%","0,09%"
