"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,19.690,"51,9%","38,7%","52,54%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,6.343,"16,72%","12,47%","16,93%"
PAR - PARTIDO ARAGONES REGIONALISTA,,4.127,"10,88%","8,11%","11,01%"
IU - IZQUIERDA UNIDA,,2.897,"7,64%","5,69%","7,73%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,,2.890,"7,62%","5,68%","7,71%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,,520,"1,37%","1,02%","1,39%"
LVE - LOS VERDES ECOLOGISTAS,,252,"0,66%","0,5%","0,67%"
LV-LV - LOS VERDES-LISTA VERDE,,239,"0,63%","0,47%","0,64%"
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,,164,"0,43%","0,32%","0,44%"
CSD - COALICION SOCIALDEMOCRATA,,97,"0,26%","0,19%","0,26%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,,70,"0,18%","0,14%","0,19%"
COMUNISTA,,,,,
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,,68,"0,18%","0,13%","0,18%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,,45,"0,12%","0,09%","0,12%"
PH - PARTIDO HUMANISTA,,38,"0,1%","0,07%","0,1%"
AR - ALIANZA POR LA REPUBLICA,,19,"0,05%","0,04%","0,05%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,16,"0,04%","0,03%","0,04%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,,0,0%,0%,0%
