Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,22.378,"67,41%","52,86%","68,59%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,5.214,"15,71%","12,32%","15,98%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,2.346,"7,07%","5,54%","7,19%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",1.944,"5,86%","4,59%","5,96%"
EQUO - EQUO,295,"0,89%","0,7%","0,9%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,162,"0,49%","0,38%","0,5%"
Eb - ESCAÑOS EN BLANCO,131,"0,39%","0,31%","0,4%"
PUM+J - POR UN MUNDO MÁS JUSTO,48,"0,14%","0,11%","0,15%"
PH - PARTIDO HUMANISTA,28,"0,08%","0,07%","0,09%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,27,"0,08%","0,06%","0,08%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,24,"0,07%","0,06%","0,07%"
DeC - DEMOS EL CAMBIO,22,"0,07%","0,05%","0,07%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,6,"0,02%","0,01%","0,02%"
