Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,21.447,"36,57%","25,1%","36,88%"
PP - PARTIDO POPULAR,13.619,"23,22%","15,94%","23,42%"
IU - IZQUIERDA UNIDA,8.933,"15,23%","10,45%","15,36%"
PAR - PARTIDO ARAGONES REGIONALISTA,6.134,"10,46%","7,18%","10,55%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,5.054,"8,62%","5,91%","8,69%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,708,"1,21%","0,83%","1,22%"
LVE - LOS VERDES ECOLOGISTAS,475,"0,81%","0,56%","0,82%"
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,359,"0,61%","0,42%","0,62%"
LV-LV - LOS VERDES-LISTA VERDE,354,"0,6%","0,41%","0,61%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,343,"0,58%","0,4%","0,59%"
COMUNISTA,,,,
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,327,"0,56%","0,38%","0,56%"
CSD - COALICION SOCIALDEMOCRATA,184,"0,31%","0,22%","0,32%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,76,"0,13%","0,09%","0,13%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,57,"0,1%","0,07%","0,1%"
PH - PARTIDO HUMANISTA,55,"0,09%","0,06%","0,09%"
AR - ALIANZA POR LA REPUBLICA,36,"0,06%","0,04%","0,06%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,0,0%,0%,0%
