"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,29.555,"45,41%","32,22%","46,08%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,18.468,"28,38%","20,13%","28,79%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,10.457,"16,07%","11,4%","16,3%"
IU - IZQUIERDA UNIDA DE ARAGON,,2.652,"4,07%","2,89%","4,13%"
PAR - PARTIDO ARAGONES,,2.386,"3,67%","2,6%","3,72%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,334,"0,51%","0,36%","0,52%"
INAR - INICIATIVA ARAGONESA,,116,"0,18%","0,13%","0,18%"
FE - LA FALANGE,,33,"0,05%","0,04%","0,05%"
PH - PARTIDO HUMANISTA,,29,"0,04%","0,03%","0,05%"
PLN - PARTIDO DE LA LEY NATURAL,,26,"0,04%","0,03%","0,04%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,23,"0,04%","0,03%","0,04%"
2000,,,,,
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,19,"0,03%","0,02%","0,03%"
ES2000 - PLATAFORMA ESPAÑA 2000,,18,"0,03%","0,02%","0,03%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,13,"0,02%","0,01%","0,02%"
EC - ESTAT CATALA,,10,"0,02%","0,01%","0,02%"
