"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,10.466,"38,49%","26,75%","38,99%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,9.008,"33,13%","23,02%","33,56%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,4.733,"17,41%","12,1%","17,63%"
IU - IZQUIERDA UNIDA DE ARAGON,,1.358,"4,99%","3,47%","5,06%"
PAR - PARTIDO ARAGONES,,987,"3,63%","2,52%","3,68%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,132,"0,49%","0,34%","0,49%"
INAR - INICIATIVA ARAGONESA,,67,"0,25%","0,17%","0,25%"
PH - PARTIDO HUMANISTA,,23,"0,08%","0,06%","0,09%"
FE - LA FALANGE,,19,"0,07%","0,05%","0,07%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,16,"0,06%","0,04%","0,06%"
PLN - PARTIDO DE LA LEY NATURAL,,10,"0,04%","0,03%","0,04%"
ES2000 - PLATAFORMA ESPAÑA 2000,,9,"0,03%","0,02%","0,03%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,6,"0,02%","0,02%","0,02%"
2000,,,,,
EC - ESTAT CATALA,,6,"0,02%","0,02%","0,02%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,5,"0,02%","0,01%","0,02%"
