Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,13.166,"46,32%","35,38%","47,15%"
PP - PARTIDO POPULAR,7.416,"26,09%","19,93%","26,56%"
CHA - CHUNTA ARAGONESISTA,5.183,"18,24%","13,93%","18,56%"
PAR - PARTIDO ARAGONES,1.011,"3,56%","2,72%","3,62%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,950,"3,34%","2,55%","3,4%"
CENB - CIUDADANOS EN BLANCO,46,"0,16%","0,12%","0,16%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,33,"0,12%","0,09%","0,12%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,20,"0,07%","0,05%","0,07%"
DN - DEMOCRACIA NACIONAL,16,"0,06%","0,04%","0,06%"
FE - LA FALANGE,16,"0,06%","0,04%","0,06%"
FyV - PARTIDO FAMILIA Y VIDA,15,"0,05%","0,04%","0,05%"
PH - PARTIDO HUMANISTA,15,"0,05%","0,04%","0,05%"
IR - IZQUIERDA REPUBLICANA,14,"0,05%","0,04%","0,05%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,8,"0,03%","0,02%","0,03%"
FA - FALANGE AUTENTICA,6,"0,02%","0,02%","0,02%"
PCA - PARTIDO CARLISTA,5,"0,02%","0,01%","0,02%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,2,"0,01%","0,01%","0,01%"
