Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,6.571,"28,44%","20,48%","28,68%"
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,5.690,"24,63%","17,74%","24,83%"
ARAGON,,,,
PODEMOS - PODEMOS,4.933,"21,35%","15,38%","21,53%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,3.225,"13,96%","10,05%","14,07%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",1.770,"7,66%","5,52%","7,72%"
CHUNTA,,,,
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,233,"1,01%","0,73%","1,02%"
EB - ESCAÑOS EN BLANCO,160,"0,69%","0,5%","0,7%"
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,158,"0,68%","0,49%","0,69%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,58,"0,25%","0,18%","0,25%"
VOX - VOX,54,"0,23%","0,17%","0,24%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,40,"0,17%","0,12%","0,17%"
Independien - INDEPENDIENTES POR ARAGÓN,22,"0,1%","0,07%","0,1%"
