Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,18.457,"47,74%","35,76%","48,39%"
PP - PARTIDO POPULAR,13.567,"35,09%","26,29%","35,57%"
CHA - CHUNTA ARAGONESISTA,2.302,"5,95%","4,46%","6,03%"
PAR - PARTIDO ARAGONES,1.664,"4,3%","3,22%","4,36%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,1.201,"3,11%","2,33%","3,15%"
UPyD - UNION PROGRESO Y DEMOCRACIA,489,"1,26%","0,95%","1,28%"
LV - LOS VERDES-GRUPO VERDE,132,"0,34%","0,26%","0,35%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,75,"0,19%","0,15%","0,2%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,34,"0,09%","0,07%","0,09%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,34,"0,09%","0,07%","0,09%"
DN - DEMOCRACIA NACIONAL,33,"0,09%","0,06%","0,09%"
Cenb - CIUDADANOS EN BLANCO,30,"0,08%","0,06%","0,08%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,21,"0,05%","0,04%","0,06%"
INDEPENDIENTES DE ARAGON,,,,
PUM+J - POR UN MUNDO MAS JUSTO,20,"0,05%","0,04%","0,05%"
PFyV - PARTIDO FAMILIA Y VIDA,16,"0,04%","0,03%","0,04%"
F.A. - FALANGE AUTENTICA,15,"0,04%","0,03%","0,04%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,13,"0,03%","0,03%","0,03%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,10,"0,03%","0,02%","0,03%"
AuN - ALIANZA NACIONAL,10,"0,03%","0,02%","0,03%"
E-2000 - ESPAÑA 2000,9,"0,02%","0,02%","0,02%"
PH - PARTIDO HUMANISTA,9,"0,02%","0,02%","0,02%"
AES - ALTERNATIVA ESPAÑOLA,2,"0,01%",0%,"0,01%"
