Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,7.825,"44,48%","29,88%","44,84%"
PP - PARTIDO POPULAR,2.909,"16,54%","11,11%","16,67%"
IU - IZQUIERDA UNIDA,2.754,"15,66%","10,52%","15,78%"
PAR - PARTIDO ARAGONES REGIONALISTA,1.808,"10,28%","6,9%","10,36%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,1.221,"6,94%","4,66%",7%
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,191,"1,09%","0,73%","1,09%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,148,"0,84%","0,57%","0,85%"
LVE - LOS VERDES ECOLOGISTAS,142,"0,81%","0,54%","0,81%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,114,"0,65%","0,44%","0,65%"
COMUNISTA,,,,
LV-LV - LOS VERDES-LISTA VERDE,93,"0,53%","0,36%","0,53%"
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,92,"0,52%","0,35%","0,53%"
CSD - COALICION SOCIALDEMOCRATA,74,"0,42%","0,28%","0,42%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,33,"0,19%","0,13%","0,19%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,20,"0,11%","0,08%","0,11%"
AR - ALIANZA POR LA REPUBLICA,15,"0,09%","0,06%","0,09%"
PH - PARTIDO HUMANISTA,10,"0,06%","0,04%","0,06%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,0,0%,0%,0%
