"",Candidatura,Votos,% válidos,% censo,% candidaturas
PODEMOS - PODEMOS,,5.185,"26,51%","18,93%","26,78%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,4.625,"23,65%","16,89%","23,89%"
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,,3.969,"20,29%","14,49%","20,5%"
ARAGON,,,,,
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,,3.192,"16,32%","11,66%","16,49%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",,1.700,"8,69%","6,21%","8,78%"
CHUNTA,,,,,
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,,187,"0,96%","0,68%","0,97%"
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,,171,"0,87%","0,62%","0,88%"
EB - ESCAÑOS EN BLANCO,,149,"0,76%","0,54%","0,77%"
VOX - VOX,,66,"0,34%","0,24%","0,34%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,,54,"0,28%","0,2%","0,28%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,36,"0,18%","0,13%","0,19%"
Independien - INDEPENDIENTES POR ARAGÓN,,24,"0,12%","0,09%","0,12%"
