Candidatura,Votos,% válidos,% censo,% candidaturas
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,5.428,"29,09%","19,78%","29,33%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,4.868,"26,09%","17,74%","26,31%"
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,4.487,"24,05%","16,35%","24,25%"
ARAGON,,,,
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,3.031,"16,25%","11,05%","16,38%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,263,"1,41%","0,96%","1,42%"
EB - ESCAÑOS EN BLANCO,155,"0,83%","0,56%","0,84%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,74,"0,4%","0,27%","0,4%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,73,"0,39%","0,27%","0,39%"
VERDE,,,,
VOX - VOX,54,"0,29%","0,2%","0,29%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,32,"0,17%","0,12%","0,17%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,20,"0,11%","0,07%","0,11%"
MAS - MOVIMIENTO ARAGONÉS SOCIAL,19,"0,1%","0,07%","0,1%"
