"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,23.318,"61,2%","46,27%","62,44%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,6.977,"18,31%","13,84%","18,68%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,4.402,"11,55%","8,73%","11,79%"
IU - IZQUIERDA UNIDA DE ARAGON,,1.170,"3,07%","2,32%","3,13%"
PAR - PARTIDO ARAGONES,,1.052,"2,76%","2,09%","2,82%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,257,"0,67%","0,51%","0,69%"
INAR - INICIATIVA ARAGONESA,,79,"0,21%","0,16%","0,21%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,15,"0,04%","0,03%","0,04%"
FE - LA FALANGE,,14,"0,04%","0,03%","0,04%"
ES2000 - PLATAFORMA ESPAÑA 2000,,13,"0,03%","0,03%","0,03%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,11,"0,03%","0,02%","0,03%"
2000,,,,,
PLN - PARTIDO DE LA LEY NATURAL,,11,"0,03%","0,02%","0,03%"
PH - PARTIDO HUMANISTA,,10,"0,03%","0,02%","0,03%"
EC - ESTAT CATALA,,8,"0,02%","0,02%","0,02%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,6,"0,02%","0,01%","0,02%"
