Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,20.536,"38,91%","30,09%","39,21%"
ARAGON,,,,
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,11.237,"21,29%","16,47%","21,45%"
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,10.565,"20,02%","15,48%","20,17%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,8.619,"16,33%","12,63%","16,46%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,472,"0,89%","0,69%","0,9%"
EB - ESCAÑOS EN BLANCO,325,"0,62%","0,48%","0,62%"
VOX - VOX,219,"0,41%","0,32%","0,42%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,179,"0,34%","0,26%","0,34%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,108,"0,2%","0,16%","0,21%"
VERDE,,,,
MAS - MOVIMIENTO ARAGONÉS SOCIAL,48,"0,09%","0,07%","0,09%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,44,"0,08%","0,06%","0,08%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,25,"0,05%","0,04%","0,05%"
