Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,5.029,"47,84%","31,08%","48,17%"
PP - PARTIDO POPULAR,1.722,"16,38%","10,64%","16,49%"
IU - IZQUIERDA UNIDA,1.378,"13,11%","8,52%","13,2%"
PAR - PARTIDO ARAGONES REGIONALISTA,938,"8,92%","5,8%","8,98%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,747,"7,11%","4,62%","7,15%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,158,"1,5%","0,98%","1,51%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,151,"1,44%","0,93%","1,45%"
LVE - LOS VERDES ECOLOGISTAS,84,"0,8%","0,52%","0,8%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,74,"0,7%","0,46%","0,71%"
COMUNISTA,,,,
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,49,"0,47%","0,3%","0,47%"
LV-LV - LOS VERDES-LISTA VERDE,45,"0,43%","0,28%","0,43%"
CSD - COALICION SOCIALDEMOCRATA,23,"0,22%","0,14%","0,22%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,20,"0,19%","0,12%","0,19%"
PH - PARTIDO HUMANISTA,11,"0,1%","0,07%","0,11%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,9,"0,09%","0,06%","0,09%"
AR - ALIANZA POR LA REPUBLICA,3,"0,03%","0,02%","0,03%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,0,0%,0%,0%
