Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,5.332,"25,57%","18,59%","25,78%"
ARAGON,,,,
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,4.548,"21,81%","15,86%","21,99%"
PODEMOS - PODEMOS,4.457,"21,38%","15,54%","21,55%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,4.210,"20,19%","14,68%","20,36%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",1.372,"6,58%","4,78%","6,63%"
CHUNTA,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,223,"1,07%","0,78%","1,08%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,192,"0,92%","0,67%","0,93%"
EB - ESCAÑOS EN BLANCO,110,"0,53%","0,38%","0,53%"
Independien - INDEPENDIENTES POR ARAGÓN,75,"0,36%","0,26%","0,36%"
VOX - VOX,73,"0,35%","0,25%","0,35%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,52,"0,25%","0,18%","0,25%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,36,"0,17%","0,13%","0,17%"
