Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,5.237,"39,71%","29,83%","40,54%"
PP - PARTIDO POPULAR,4.438,"33,65%","25,28%","34,36%"
CHA - CHUNTA ARAGONESISTA,2.267,"17,19%","12,91%","17,55%"
PAR - PARTIDO ARAGONES,451,"3,42%","2,57%","3,49%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,426,"3,23%","2,43%","3,3%"
CENB - CIUDADANOS EN BLANCO,28,"0,21%","0,16%","0,22%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,15,"0,11%","0,09%","0,12%"
FyV - PARTIDO FAMILIA Y VIDA,11,"0,08%","0,06%","0,09%"
DN - DEMOCRACIA NACIONAL,10,"0,08%","0,06%","0,08%"
PH - PARTIDO HUMANISTA,7,"0,05%","0,04%","0,05%"
IR - IZQUIERDA REPUBLICANA,7,"0,05%","0,04%","0,05%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,6,"0,05%","0,03%","0,05%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,4,"0,03%","0,02%","0,03%"
FA - FALANGE AUTENTICA,3,"0,02%","0,02%","0,02%"
FE - LA FALANGE,3,"0,02%","0,02%","0,02%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,3,"0,02%","0,02%","0,02%"
PCA - PARTIDO CARLISTA,1,"0,01%","0,01%","0,01%"
