Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,4.370,"32,39%","22,74%","32,69%"
ARAGON,,,,
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,2.993,"22,19%","15,58%","22,39%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,2.860,"21,2%","14,88%","21,39%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,2.726,"20,21%","14,19%","20,39%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,164,"1,22%","0,85%","1,23%"
EB - ESCAÑOS EN BLANCO,106,"0,79%","0,55%","0,79%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,43,"0,32%","0,22%","0,32%"
VOX - VOX,40,"0,3%","0,21%","0,3%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,30,"0,22%","0,16%","0,22%"
VERDE,,,,
MAS - MOVIMIENTO ARAGONÉS SOCIAL,17,"0,13%","0,09%","0,13%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,10,"0,07%","0,05%","0,07%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,9,"0,07%","0,05%","0,07%"
