Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,3.720,"49,4%","35,04%",50%
PP - PARTIDO POPULAR,2.742,"36,41%","25,83%","36,85%"
CHA - CHUNTA ARAGONESISTA,347,"4,61%","3,27%","4,66%"
PAR - PARTIDO ARAGONES,256,"3,4%","2,41%","3,44%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,205,"2,72%","1,93%","2,76%"
UPyD - UNION PROGRESO Y DEMOCRACIA,78,"1,04%","0,73%","1,05%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,18,"0,24%","0,17%","0,24%"
LV - LOS VERDES-GRUPO VERDE,17,"0,23%","0,16%","0,23%"
Cenb - CIUDADANOS EN BLANCO,9,"0,12%","0,08%","0,12%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,8,"0,11%","0,08%","0,11%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,7,"0,09%","0,07%","0,09%"
PFyV - PARTIDO FAMILIA Y VIDA,6,"0,08%","0,06%","0,08%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,4,"0,05%","0,04%","0,05%"
F.A. - FALANGE AUTENTICA,4,"0,05%","0,04%","0,05%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,4,"0,05%","0,04%","0,05%"
INDEPENDIENTES DE ARAGON,,,,
AuN - ALIANZA NACIONAL,4,"0,05%","0,04%","0,05%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,3,"0,04%","0,03%","0,04%"
PUM+J - POR UN MUNDO MAS JUSTO,3,"0,04%","0,03%","0,04%"
F.E - FRENTE ESPAÑOL,2,"0,03%","0,02%","0,03%"
E-2000 - ESPAÑA 2000,1,"0,01%","0,01%","0,01%"
DN - DEMOCRACIA NACIONAL,1,"0,01%","0,01%","0,01%"
PH - PARTIDO HUMANISTA,1,"0,01%","0,01%","0,01%"
