 Municipio, Mesa, Censo, Censo total, Votos_electores, Votos_interventores, Votos_totales, Votos_nulos, Votos_blancos, P.S.O.E., F.I.A., CHA, EB, BAR, I.U., P.P., P.C.P.E., PACMA, UPyD, COMPROMISO CON ARAGON, PAR, PODEMOS, EQUO, C`s, RECORTES CERO
 Abanto, 1-001 -U, 112.0, 112.0, 90.0, 0.0, 90.0, 0.0, 0.0, 19.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 4.0, 0.0
 Acered, 1-001 -U, 150.0, 150.0, 121.0, 0.0, 121.0, 4.0, 1.0, 32.0, 0.0, 1.0, 0.0, 0.0, 1.0, 26.0, 0.0, 0.0, 0.0, 0.0, 46.0, 6.0, 0.0, 4.0, 0.0
 Ag?, 1-001 -U, 130.0, 130.0, 104.0, 0.0, 104.0, 1.0, 4.0, 39.0, 0.0, 3.0, 1.0, 0.0, 3.0, 25.0, 0.0, 1.0, 0.0, 0.0, 14.0, 10.0, 0.0, 3.0, 0.0
 Aguar?, 1-001 -U, 552.0, 552.0, 428.0, 0.0, 428.0, 6.0, 4.0, 148.0, 0.0, 40.0, 1.0, 0.0, 9.0, 124.0, 0.0, 2.0, 1.0, 0.0, 26.0, 47.0, 0.0, 20.0, 0.0
 Aguil?, 1-001 -U, 239.0, 239.0, 219.0, 0.0, 219.0, 0.0, 6.0, 63.0, 1.0, 6.0, 0.0, 0.0, 4.0, 105.0, 0.0, 0.0, 1.0, 0.0, 10.0, 12.0, 0.0, 11.0, 0.0
 Ainz?, 1-001 -A, 471.0, 471.0, 377.0, 1.0, 378.0, 14.0, 12.0, 139.0, 0.0, 13.0, 0.0, 0.0, 9.0, 92.0, 0.0, 0.0, 0.0, 0.0, 10.0, 70.0, 0.0, 18.0, 1.0
 Ainz?, 1-001 -B, 462.0, 462.0, 353.0, 0.0, 353.0, 10.0, 12.0, 113.0, 0.0, 15.0, 0.0, 0.0, 9.0, 114.0, 0.0, 2.0, 0.0, 0.0, 11.0, 44.0, 0.0, 23.0, 0.0
 Aladr?, 1-001 -U, 47.0, 47.0, 37.0, 0.0, 37.0, 0.0, 0.0, 5.0, 0.0, 3.0, 0.0, 0.0, 1.0, 10.0, 0.0, 1.0, 0.0, 0.0, 5.0, 12.0, 0.0, 0.0, 0.0
 Alag?, 1-001 -A, 407.0, 407.0, 250.0, 0.0, 250.0, 4.0, 10.0, 65.0, 0.0, 32.0, 2.0, 0.0, 10.0, 29.0, 0.0, 1.0, 2.0, 0.0, 28.0, 58.0, 0.0, 9.0, 0.0
 Alag?, 1-001 -B, 416.0, 416.0, 248.0, 0.0, 248.0, 8.0, 3.0, 62.0, 0.0, 15.0, 1.0, 0.0, 16.0, 45.0, 0.0, 1.0, 0.0, 0.0, 25.0, 64.0, 0.0, 8.0, 0.0
 Alag?, 1-002 -A, 627.0, 627.0, 434.0, 0.0, 434.0, 3.0, 11.0, 116.0, 0.0, 28.0, 1.0, 1.0, 32.0, 52.0, 1.0, 6.0, 1.0, 0.0, 70.0, 97.0, 0.0, 14.0, 1.0
 Alag?, 1-002 -B, 656.0, 656.0, 439.0, 0.0, 439.0, 5.0, 8.0, 114.0, 0.0, 29.0, 1.0, 2.0, 47.0, 55.0, 0.0, 1.0, 0.0, 1.0, 55.0, 103.0, 1.0, 16.0, 1.0
 Alag?, 1-003 -A, 522.0, 522.0, 353.0, 0.0, 353.0, 7.0, 3.0, 76.0, 0.0, 32.0, 1.0, 0.0, 21.0, 57.0, 0.0, 2.0, 2.0, 0.0, 51.0, 85.0, 1.0, 13.0, 2.0
 Alag?, 1-003 -B, 704.0, 704.0, 482.0, 0.0, 482.0, 10.0, 8.0, 116.0, 0.0, 23.0, 2.0, 1.0, 32.0, 66.0, 0.0, 3.0, 1.0, 1.0, 84.0, 116.0, 1.0, 18.0, 0.0
 Alag?, 1-003 -C, 514.0, 514.0, 339.0, 0.0, 339.0, 5.0, 10.0, 72.0, 0.0, 22.0, 1.0, 0.0, 22.0, 46.0, 1.0, 3.0, 1.0, 0.0, 56.0, 87.0, 1.0, 12.0, 0.0
 Alag?, 1-004 -A, 595.0, 595.0, 423.0, 0.0, 423.0, 10.0, 9.0, 84.0, 1.0, 22.0, 2.0, 1.0, 18.0, 88.0, 0.0, 2.0, 1.0, 0.0, 64.0, 92.0, 1.0, 28.0, 0.0
 Alag?, 1-004 -B, 635.0, 635.0, 447.0, 0.0, 447.0, 6.0, 9.0, 88.0, 0.0, 27.0, 1.0, 1.0, 23.0, 87.0, 1.0, 5.0, 1.0, 0.0, 43.0, 129.0, 1.0, 25.0, 0.0
