order,cs,distrito
1,2,01
2,4,01
3,3,01
4,5,01
5,4,01
6,2,01
7,3,01
8,0,01
9,2,01
10,5,01
11,0,01
12,1,01
13,6,01
14,2,01
15,1,01
16,3,01
17,5,01
18,3,01
19,6,01
20,4,01
21,4,01
22,2,01
23,6,01
24,5,01
25,0,01
26,2,01
27,2,01
28,4,01
29,7,01
30,5,01
31,3,01
32,7,02
33,7,02
34,4,02
35,6,02
36,3,02
37,3,02
38,5,02
39,7,02
40,2,02
41,3,02
42,6,02
43,3,02
44,4,02
45,4,02
46,6,02
47,9,02
48,6,02
49,7,02
50,4,02
51,6,02
52,6,02
53,-1,02
54,7,02
55,8,02
56,6,02
57,7,02
58,7,02
59,4,02
60,8,02
61,7,02
62,6,02
63,4,02
64,5,02
65,8,02
66,6,02
67,6,02
68,6,02
69,4,02
70,3,02
71,2,02
72,7,02
73,5,02
74,6,02
75,8,02
76,9,02
77,-1,03
78,4,03
79,6,03
80,4,03
81,3,03
82,3,03
83,3,03
84,3,03
85,6,03
86,4,03
87,3,03
88,5,03
89,2,03
90,5,03
91,5,03
92,4,03
93,7,03
94,8,03
95,5,03
96,6,03
97,2,03
98,8,03
99,3,03
100,7,03
101,3,03
102,6,03
103,2,03
104,2,03
105,5,03
106,5,03
107,5,03
108,3,03
109,-1,03
110,3,03
111,2,03
112,3,03
113,1,03
114,5,03
115,6,03
116,2,03
117,2,03
118,5,03
119,6,03
120,6,03
121,0,03
122,3,03
123,5,03
124,7,03
125,4,03
126,3,03
127,1,03
128,0,03
129,2,03
130,5,03
131,4,03
132,5,03
133,5,03
134,6,03
135,3,03
136,4,03
137,1,03
138,3,03
139,2,03
140,2,03
141,7,03
142,5,03
143,3,03
144,5,03
145,5,03
146,4,03
147,2,03
148,5,03
149,10,03
150,11,03
151,3,03
152,4,03
153,8,03
154,6,03
155,3,03
156,5,03
157,-1,03
158,7,03
159,5,03
160,3,04
161,8,04
162,4,04
163,5,04
164,1,04
