order,psoe,distrito
1,5,01
2,10,01
3,7,01
4,6,01
5,9,01
6,11,01
7,9,01
8,12,01
9,9,01
10,7,01
11,10,01
12,11,01
13,8,01
14,10,01
15,11,01
16,7,01
17,4,01
18,5,01
19,9,01
20,9,01
21,10,01
22,8,01
23,6,01
24,9,01
25,6,01
26,9,01
27,12,01
28,5,01
29,5,01
30,8,01
31,11,01
32,3,02
33,8,02
34,7,02
35,8,02
36,5,02
37,5,02
38,4,02
39,6,02
40,9,02
41,6,02
42,6,02
43,10,02
44,8,02
45,7,02
46,7,02
47,3,02
48,6,02
49,8,02
50,4,02
51,7,02
52,8,02
53,7,02
54,3,02
55,3,02
56,4,02
57,4,02
58,4,02
59,3,02
60,9,02
61,4,02
62,3,02
63,7,02
64,6,02
65,5,02
66,8,02
67,2,02
68,7,02
69,7,02
70,8,02
71,7,02
72,7,02
73,5,02
74,6,02
75,5,02
76,3,02
77,11,03
78,7,03
79,10,03
80,10,03
81,10,03
82,8,03
83,8,03
84,8,03
85,6,03
86,5,03
87,9,03
88,8,03
89,10,03
90,8,03
91,6,03
92,8,03
93,8,03
94,8,03
95,5,03
96,6,03
97,7,03
98,7,03
99,11,03
100,6,03
101,8,03
102,9,03
103,6,03
104,11,03
105,11,03
106,7,03
107,11,03
108,12,03
109,11,03
110,6,03
111,11,03
112,6,03
113,10,03
114,8,03
115,12,03
116,7,03
117,10,03
118,7,03
119,8,03
120,7,03
121,9,03
122,9,03
123,8,03
124,7,03
125,8,03
126,9,03
127,7,03
128,14,03
129,11,03
130,7,03
131,8,03
132,7,03
133,9,03
134,4,03
135,7,03
136,7,03
137,9,03
138,10,03
139,13,03
140,7,03
141,8,03
142,8,03
143,11,03
144,9,03
145,11,03
146,8,03
147,10,03
148,5,03
149,4,03
150,5,03
151,9,03
152,7,03
153,8,03
154,7,03
155,8,03
156,5,03
157,8,03
158,6,03
159,8,03
160,9,04
161,9,04
162,7,04
163,4,04
164,9,04
165,9,04
166,15,04
167,6,04
168,8,04
169,10,04
170,7,04
171,8,04
172,5,04
173,11,04
174,5,04
175,8,04
176,5,04
177,8,04
178,6,04
179,7,04
180,11,04
181,11,04
182,6,04
183,7,04
184,10,04
185,14,04
186,10,04
187,10,04
188,8,04
189,11,04
190,5,04
191,6,04
192,4,04
193,7,04
194,10,04
195,6,04
196,3,04
197,7,04
198,5,04
199,5,04
200,9,04
201,4,04
202,8,04
203,8,04
204,5,04
205,11,04
206,7,04
207,5,04
208,5,04
209,5,04
210,9,04
211,8,04
212,10,04
213,9,04
214,12,04
215,10,04
216,9,04
217,11,04
218,9,04
219,13,04
220,7,04
221,8,05
222,9,05
223,6,05
224,10,05
225,4,05
226,13,05
227,9,05
228,6,05
229,9,05
230,8,05
231,5,05
232,5,05
233,7,05
234,3,05
235,9,05
236,7,05
237,7,05
238,8,05
239,8,05
240,12,05
241,7,05
242,9,05
243,8,05
244,10,05
245,7,05
246,9,05
247,9,05
248,8,05
249,8,05
250,8,05
251,13,05
252,12,05
253,7,05
254,7,05
255,9,05
256,8,05
257,8,05
258,8,05
259,11,05
260,10,05
261,9,05
262,8,05
263,7,05
264,6,05
265,11,05
266,10,05
267,7,05
268,7,05
269,7,06
270,9,06
271,8,06
272,9,06
273,8,06
274,7,06
275,7,06
276,8,06
277,12,06
278,9,06
279,7,06
280,5,06
281,10,06
282,10,06
283,5,06
284,5,06
285,3,06
286,8,06
287,4,06
288,8,06
289,6,06
290,2,06
291,4,06
292,6,06
293,8,06
294,1,06
295,3,06
296,8,06
297,4,06
298,10,06
299,10,06
300,5,06
301,7,06
302,8,06
303,3,06
304,9,06
305,5,07
306,5,07
307,3,07
308,8,07
309,8,07
310,7,07
311,7,07
312,7,07
313,4,07
314,3,07
315,7,07
316,9,07
317,10,07
318,9,07
319,9,07
320,7,07
321,8,08
322,9,08
323,8,08
324,7,08
325,6,08
326,4,08
327,5,08
328,6,08
329,9,08
330,-1,08
331,4,08
332,6,08
333,6,08
334,5,08
335,8,08
336,8,08
337,6,08
338,8,08
339,7,08
340,8,08
341,6,08
342,9,08
343,9,08
344,5,08
345,5,08
346,8,09
347,10,09
348,7,09
349,6,09
350,12,09
351,11,09
352,9,09
353,8,09
354,8,09
355,10,09
356,6,09
357,10,09
358,10,09
359,8,09
360,1,09
361,10,09
362,12,09
363,9,09
364,9,09
365,9,09
366,8,09
367,12,09
368,9,09
369,9,09
370,4,09
371,11,09
372,9,09
373,8,10
374,7,10
375,4,10
376,5,10
377,8,10
378,7,10
379,6,10
380,10,10
381,15,10
382,11,10
383,13,10
384,10,10
385,11,10
386,10,10
387,9,10
388,12,10
389,9,10
390,8,10
391,10,10
392,7,10
393,6,10
394,4,10
395,1,10
396,12,10
397,8,10
398,7,10
399,8,10
400,8,10
401,10,10
402,9,10
403,3,10
404,8,10
405,5,10
406,7,10
407,7,10
408,8,10
409,10,10
410,8,10
411,8,10
412,9,10
413,12,10
414,6,10
415,7,10
416,8,10
417,5,10
418,9,10
419,10,10
420,8,10
421,11,10
422,10,10
423,7,10
424,7,10
425,8,10
426,8,10
427,13,10
428,8,10
429,7,10
430,9,10
431,8,10
432,10,10
433,8,10
434,9,10
435,8,10
436,5,10
437,10,10
438,8,10
439,7,10
440,12,10
441,12,10
442,8,10
443,8,10
444,7,10
445,10,10
446,10,10
447,6,10
448,8,10
449,8,10
450,9,10
451,10,10
452,7,10
453,8,10
454,9,10
455,10,10
456,6,10
457,10,10
458,9,10
459,8,10
460,9,10
461,6,11
462,10,11
463,6,11
464,5,11
465,7,11
466,9,11
467,6,11
468,9,11
469,6,11
470,5,11
471,4,11
472,9,11
473,10,11
474,9,11
475,7,11
476,8,11
477,3,12
478,8,12
479,4,12
480,8,12
481,3,12
482,4,12
483,5,12
484,5,12
